,Address,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
997,"Tudor City, New York City US",Park,Café,Mexican Restaurant,Deli / Bodega,Pizza Place,Gym / Fitness Center,Dog Run,Gym,Asian Restaurant,Vietnamese Restaurant
998,"Tughlaqabad, New Delhi India",Castle,Cuban Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Zoo Exhibit
999,"Turtle Bay, New York City US",Coffee Shop,Italian Restaurant,Deli / Bodega,Café,Park,Wine Bar,Sushi Restaurant,Hotel,French Restaurant,Ramen Restaurant
1000,"Tây Hồ, Hanoi Vietnam",Vietnamese Restaurant,Café,Coffee Shop,Noodle House,Pastry Shop,Garden,Asian Restaurant,Beer Bar,Steakhouse,Modern European Restaurant
1001,"Ultimo, Sydney",Thai Restaurant,Café,Coffee Shop,Hotel,Japanese Restaurant,Park,Ice Cream Shop,Dumpling Restaurant,Malay Restaurant,Bookstore
1002,"Unionport, New York City US",Latin American Restaurant,Donut Shop,Ice Cream Shop,Electronics Store,Pet Store,Pizza Place,Fast Food Restaurant,Spanish Restaurant,Caribbean Restaurant,Seafood Restaurant
1003,"University Heights, New York City US",Pizza Place,Supermarket,Convenience Store,Grocery Store,Shoe Store,Sandwich Place,Laundromat,Latin American Restaurant,History Museum,Fast Food Restaurant
1004,"University Park, Los Angeles US",Food Truck,Yoga Studio,Coffee Shop,College Residence Hall,Shipping Store,Big Box Store,Café,Caribbean Restaurant,Farmers Market,Concert Hall
1005,"Upper Brookfield, Brisbane",Bus Station,Zoo Exhibit,Fishing Spot,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
1006,"Upper East Side, New York City US",Italian Restaurant,Gym / Fitness Center,Juice Bar,Bakery,Yoga Studio,Wine Shop,Exhibit,Hotel,Grocery Store,Salad Place
1007,"Upper Kedron, Brisbane",Bus Station,Garden Center,Zoo Exhibit,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
1008,"Upper Mount Gravatt, Brisbane",Coffee Shop,Japanese Restaurant,Fast Food Restaurant,Sandwich Place,Portuguese Restaurant,Café,Department Store,Supermarket,Shopping Mall,Mexican Restaurant
1009,"Upper Riccarton, Christchurch New Zealand",Fast Food Restaurant,Supermarket,Café,Vietnamese Restaurant,Chinese Restaurant,Bar,Asian Restaurant,Pizza Place,Vegetarian / Vegan Restaurant,Pharmacy
1010,"Upper West Side, New York City US",Italian Restaurant,Coffee Shop,Bakery,Wine Bar,American Restaurant,Bagel Shop,Bar,Vegetarian / Vegan Restaurant,Seafood Restaurant,Mediterranean Restaurant
1011,"Utopia, New York City US",Deli / Bodega,Basketball Court,History Museum,Spa,Playground,Ice Cream Shop,Pizza Place,Indie Movie Theater,Automotive Shop,South American Restaurant
1012,"Uttam Nagar, New Delhi India",Indian Restaurant,Hotel,Light Rail Station,Gym,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
1013,"Valley Glen, Los Angeles US",Taco Place,Coffee Shop,Business Service,Cajun / Creole Restaurant,Tiki Bar,Fast Food Restaurant,Middle Eastern Restaurant,Mexican Restaurant,Bakery,Pet Store
1014,"Valley Village, Los Angeles US",Fried Chicken Joint,Discount Store,Chinese Restaurant,Mobile Phone Shop,Supermarket,Eastern European Restaurant,Grocery Store,Pizza Place,Hot Dog Joint,Theater
1015,"Van Nest, New York City US",Pizza Place,Deli / Bodega,Middle Eastern Restaurant,Bus Stop,Donut Shop,Chinese Restaurant,Hookah Bar,Coffee Shop,Playground,Grocery Store
1016,"Van Nuys, Los Angeles US",Mexican Restaurant,Chinese Restaurant,South American Restaurant,Convenience Store,Sandwich Place,Grocery Store,Thrift / Vintage Store,Mobile Phone Shop,Waste Facility,Fast Food Restaurant
1017,"Vasant Kunj, New Delhi India",Vegetarian / Vegan Restaurant,Pizza Place,Café,Bakery,Bank,Exhibit,Eye Doctor,Fabric Shop,Factory,Event Space
1018,"Vasant Vihar, New Delhi India",Coffee Shop,Chinese Restaurant,Fast Food Restaurant,Gourmet Shop,Market,Café,Indian Restaurant,Pizza Place,Tea Room,Food & Drink Shop
1019,"Vasundhara Enclave, New Delhi India",Market,Stadium,Pizza Place,Convenience Store,Falafel Restaurant,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
1020,"Venice, Los Angeles US",Boutique,Clothing Store,Cosmetics Shop,Coffee Shop,Shoe Store,Poke Place,Gift Shop,Pizza Place,Donut Shop,Vegetarian / Vegan Restaurant
1021,"Vermont Knolls, Los Angeles US",Grocery Store,Burger Joint,ATM,Sandwich Place,Fast Food Restaurant,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant
1022,"Vermont Square, Los Angeles US",Liquor Store,Music Venue,Mexican Restaurant,Burger Joint,Park,Shop & Service,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
1023,"Vermont Vista, Los Angeles US",Burger Joint,Zoo Exhibit,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farm
1024,"Vermont-Slauson, Los Angeles US",Chinese Restaurant,Burger Joint,Mobile Phone Shop,Check Cashing Service,Sandwich Place,Zoo Exhibit,Farm,Film Studio,Filipino Restaurant,Field
1025,"Victoria Park, Los Angeles US",Intersection,Fried Chicken Joint,Mexican Restaurant,Furniture / Home Store,Convenience Store,Park,Vegetarian / Vegan Restaurant,Donut Shop,Grocery Store,Liquor Store
1026,"Vikaspuri, New Delhi India",Indian Restaurant,Multiplex,Pizza Place,Flea Market,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
1027,"Village Green, Los Angeles US",Chinese Restaurant,American Restaurant,Cosmetics Shop,Café,Sandwich Place,Diner,Fish Market,Pizza Place,Intersection,Clothing Store
1028,"Vinegar Hill, New York City US",Food Truck,Coffee Shop,Café,Bike Rental / Bike Share,Art Gallery,Antique Shop,Performing Arts Venue,Bar,Entertainment Service,Bakery
1029,"Virginia, Brisbane",Construction & Landscaping,Sandwich Place,Train Station,Kebab Restaurant,Pizza Place,Convenience Store,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market
1030,"Wai o Taiki Bay, Auckland City New Zealand",German Restaurant,Burger Joint,Baseball Field,Gym / Fitness Center,Gym Pool,Park,Café,Field,Financial or Legal Service,Film Studio
1031,"Waikowhai, Auckland City New Zealand",Thai Restaurant,Park,Pizza Place,Sports Club,Malay Restaurant,Zoo Exhibit,Farmers Market,Film Studio,Filipino Restaurant,Field
1032,"Waimairi Beach, Christchurch New Zealand",Café,Post Office,Supermarket,Golf Course,Construction & Landscaping,Beach,Sandwich Place,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service
1033,"Wainoni, Christchurch New Zealand",Fish & Chips Shop,Supermarket,Basketball Stadium,Golf Course,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
1034,"Wakefield, New York City US",Pharmacy,Gas Station,Ice Cream Shop,Donut Shop,Laundromat,Sandwich Place,Dessert Shop,Factory,Falafel Restaurant,Farm
1035,"Wakerley, Brisbane",Park,Dry Cleaner,Zoo Exhibit,Event Service,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
1036,"Walkeshwar, Mumbai City India",Indian Restaurant,Restaurant,Gastropub,Gym,Ice Cream Shop,Theater,Café,Coffee Shop,Food & Drink Shop,Park
1037,"Waltham, Christchurch New Zealand",Park,Bowling Alley,Café,Mexican Restaurant,Fast Food Restaurant,Athletics & Sports,Gym,Skating Rink,Skate Park,Organic Grocery
1038,"Wangfujing, Beijing China",Hotel,Coffee Shop,Shopping Mall,Fast Food Restaurant,Chinese Restaurant,Café,Clothing Store,Pizza Place,Tea Room,Beijing Restaurant
1039,"Wangjing, Beijing China",Korean Restaurant,Chinese Restaurant,Coffee Shop,Café,Fast Food Restaurant,Hotpot Restaurant,Shopping Mall,Hotel,Farmers Market,Spa
1040,"Wangsa Maju, Kuala Lumpur Malaysia",Convenience Store,Breakfast Spot,Asian Restaurant,Malay Restaurant,Burger Joint,Food Truck,Soup Place,Coffee Shop,Bagel Shop,Turkish Restaurant
1041,"Warner Center, Los Angeles US",Gym,Coffee Shop,Sushi Restaurant,Restaurant,Taco Place,Supplement Shop,Mexican Restaurant,Café,Deli / Bodega,Electronics Store
1042,"Washington Heights, New York City US",Café,Bakery,Mobile Phone Shop,Chinese Restaurant,Grocery Store,Tapas Restaurant,Sandwich Place,Cosmetics Shop,Deli / Bodega,Pizza Place
1043,"Waterloo, Sydney",Café,Park,Thai Restaurant,Pizza Place,Bakery,Grocery Store,Supermarket,Sandwich Place,Coffee Shop,Shopping Mall
1044,"Waterview, Auckland City New Zealand",Park,Coffee Shop,Sandwich Place,Café,Neighborhood,Convenience Store,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
1045,"Watts, Los Angeles US",Fried Chicken Joint,Insurance Office,Fast Food Restaurant,Grocery Store,Sculpture Garden,Bank,Café,Sandwich Place,Pharmacy,Women's Store
1046,"Wavell Heights, Brisbane",Bakery,Furniture / Home Store,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm
1047,"Wazirabad, New Delhi India",Snack Place,Liquor Store,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant
1048,"Weeksville, New York City US",Discount Store,Juice Bar,Chinese Restaurant,History Museum,Fried Chicken Joint,Bakery,Cocktail Bar,Park,Caribbean Restaurant,Grocery Store
1049,"West Adams, Los Angeles US",Fried Chicken Joint,Check Cashing Service,Café,Deli / Bodega,Park,Sandwich Place,Wine Bar,Fast Food Restaurant,Financial or Legal Service,Film Studio
1050,"West Brighton, New York City US",Coffee Shop,Pharmacy,Italian Restaurant,Bank,Bar,Music Store,Breakfast Spot,Chinese Restaurant,Bagel Shop,Event Space
1051,"West End, Brisbane",Café,Coffee Shop,Japanese Restaurant,Bar,Vegetarian / Vegan Restaurant,Cocktail Bar,Sandwich Place,Vietnamese Restaurant,Thai Restaurant,Beer Bar
1052,"West Farms, New York City US",Bus Station,Bank,Coffee Shop,Hotel,Donut Shop,Lounge,Playground,Park,Pizza Place,Ice Cream Shop
1053,"West Hills, Los Angeles US",Bakery,Park,Business Service,Field,Fish Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Zoo Exhibit
1054,"West Los Angeles, Los Angeles US",Middle Eastern Restaurant,Indie Movie Theater,Japanese Restaurant,Gym,Szechuan Restaurant,Pizza Place,Shoe Store,Pharmacy,Baseball Field,Beer Store
1055,"West Melbourne, Melbourne",Asian Restaurant,Café,Train Station,Art Gallery,Rental Car Location,Pier,Dessert Shop,Harbor / Marina,Candy Store,Park
1056,"West Village, New York City US",Italian Restaurant,Coffee Shop,Wine Bar,Park,Jazz Club,American Restaurant,Bakery,New American Restaurant,Seafood Restaurant,Pizza Place
1057,"Westchester Square, New York City US",Fast Food Restaurant,Donut Shop,Pizza Place,Pharmacy,Sandwich Place,Bar,Metro Station,Video Game Store,Bank,Health & Beauty Service
1058,"Westchester, Los Angeles US",Pizza Place,Coffee Shop,Bank,Smoothie Shop,Pet Store,Sandwich Place,Park,Shipping Store,Discount Store,Pharmacy
1059,"Westdale, Los Angeles US",Park,Bank,Donut Shop,Sushi Restaurant,Food Truck,Breakfast Spot,Café,Bookstore,Fast Food Restaurant,Paper / Office Supplies Store
1060,"Westerleigh, New York City US",Arcade,Spanish Restaurant,Convenience Store,Zoo Exhibit,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
1061,"Western Springs, Auckland City New Zealand",Park,Café,Furniture / Home Store,Gym / Fitness Center,Playground,Golf Course,Donut Shop,Light Rail Station,History Museum,Flower Shop
1062,"Westfield, Auckland City New Zealand",Café,Park,Electronics Store,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Farmers Market
1063,"Westlake, Brisbane",Thai Restaurant,Liquor Store,Zoo Exhibit,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
1064,"Westlake, Los Angeles US",Clothing Store,Fast Food Restaurant,Music Venue,Grocery Store,Arts & Crafts Store,Supermarket,Chinese Restaurant,Thai Restaurant,Museum,Coffee Shop
1065,"Westmere, Auckland City New Zealand",Café,Chinese Restaurant,Park,Bus Station,History Museum,Fast Food Restaurant,Theater,Wine Shop,Dog Run,Food Stand
1066,"Westmorland, Christchurch New Zealand",Park,Garden Center,Breakfast Spot,Home Service,Zoo Exhibit,Farmers Market,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
1067,"Westwood Village, Los Angeles US",Pizza Place,Coffee Shop,Cosmetics Shop,Mediterranean Restaurant,Vegetarian / Vegan Restaurant,Poke Place,New American Restaurant,Movie Theater,Grocery Store,Thai Restaurant
1068,"Westwood, Los Angeles US",Hotel,Bus Station,Coffee Shop,Fountain,Steakhouse,Plaza,Pizza Place,Science Museum,Pool,Donburi Restaurant
1069,"Whitestone, New York City US",Bubble Tea Shop,Candy Store,Dance Studio,Deli / Bodega,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
1070,"Wigram, Christchurch New Zealand",Mexican Restaurant,Market,Burger Joint,Japanese Restaurant,Health & Beauty Service,Bakery,Museum,Electronics Store,Fish & Chips Shop,Sandwich Place
1071,"Williamsbridge, New York City US",Nightclub,Bar,Dance Studio,Soup Place,Supermarket,Caribbean Restaurant,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio
1072,"Williamsburg, New York City US",Coffee Shop,Bar,Bagel Shop,Art Gallery,Liquor Store,Lounge,Pet Store,Clothing Store,Event Space,Middle Eastern Restaurant
1073,"Willowbrook, New York City US",Bus Stop,Chinese Restaurant,Pizza Place,Bagel Shop,Exhibit,Eye Doctor,Fabric Shop,Event Space,Factory,Fish Market
1074,"Wilmington, Los Angeles US",Burger Joint,Video Store,Liquor Store,Mexican Restaurant,Donut Shop,Grocery Store,Discount Store,Sandwich Place,Pizza Place,Mobile Phone Shop
1075,"Wilshire Center, Los Angeles US",Gym / Fitness Center,Restaurant,Pool,Hotel Bar,Residential Building (Apartment / Condo),Hotel,Park,Kosher Restaurant,Department Store,Zoo Exhibit
1076,"Wilshire Park, Los Angeles US",Gym / Fitness Center,Restaurant,Pool,Hotel Bar,Residential Building (Apartment / Condo),Hotel,Park,Kosher Restaurant,Department Store,Zoo Exhibit
1077,"Wilston, Brisbane",Ice Cream Shop,Thai Restaurant,Convenience Store,Rental Car Location,Farm,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
1078,"Windsor Square, Los Angeles US",Dog Run,Cosmetics Shop,Gym / Fitness Center,Scenic Lookout,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field
1079,"Windsor Terrace, New York City US",Park,Diner,Café,Plaza,Bar,Antique Shop,Chinese Restaurant,Beer Store,Coffee Shop,Bakery
1080,"Windsor, Brisbane",Fish & Chips Shop,Vegetarian / Vegan Restaurant,Sushi Restaurant,Furniture / Home Store,Pharmacy,Train Station,Fast Food Restaurant,Hotel,Café,Field
1081,"Wingate, New York City US",Fried Chicken Joint,Liquor Store,Donut Shop,Vietnamese Restaurant,Fish & Chips Shop,Field,Playground,Gym / Fitness Center,Fast Food Restaurant,Discount Store
1082,"Winnetka, Los Angeles US",Mexican Restaurant,Convenience Store,Filipino Restaurant,Ice Cream Shop,Fast Food Restaurant,Latin American Restaurant,Sandwich Place,South American Restaurant,Pizza Place,Fried Chicken Joint
1083,"Wishart, Brisbane",Shopping Mall,Pharmacy,Fast Food Restaurant,Supermarket,Zoo Exhibit,Film Studio,Filipino Restaurant,Field,Farmers Market,Farm
1084,"Woodhaven, New York City US",Deli / Bodega,Pharmacy,Bank,Park,Sandwich Place,Fried Chicken Joint,Nail Salon,Gift Shop,Thai Restaurant,Bagel Shop
1085,"Woodland Hills, Los Angeles US",Mediterranean Restaurant,Sushi Restaurant,Ice Cream Shop,Shipping Store,Indian Restaurant,Bagel Shop,Salon / Barbershop,Spa,Burger Joint,Pharmacy
1086,"Woodlawn, New York City US",Deli / Bodega,Pizza Place,Pub,Bar,Playground,Trail,American Restaurant,Grocery Store,Park,Indian Restaurant
1087,"Woodrow, New York City US",Pharmacy,Donut Shop,Diner,Pizza Place,Miscellaneous Shop,Liquor Store,Martial Arts Dojo,Coffee Shop,Gift Shop,Bagel Shop
1088,"Woodside, New York City US",Grocery Store,Bakery,Filipino Restaurant,Latin American Restaurant,Thai Restaurant,Donut Shop,Bar,Pub,American Restaurant,Restaurant
1089,"Woolloomooloo, Sydney",Café,Australian Restaurant,Italian Restaurant,Japanese Restaurant,Park,Chinese Restaurant,Bakery,Hotel,Gym,Fountain
1090,"Woolloongabba, Brisbane",Coffee Shop,Pub,Italian Restaurant,Bakery,Thai Restaurant,Pizza Place,Cricket Ground,Indian Restaurant,Gym,Fast Food Restaurant
1091,"Wooloowin, Brisbane",Café,Convenience Store,Zoo Exhibit,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant
1092,"Woolston, Christchurch New Zealand",Bar,Chinese Restaurant,Indian Restaurant,Gastropub,RV Park,Hostel,Fish & Chips Shop,Farmers Market,Film Studio,Filipino Restaurant
1093,"Worli, Mumbai City India",Scenic Lookout,Indian Restaurant,Sandwich Place,Paper / Office Supplies Store,Hotel,Sports Club,Bakery,Juice Bar,Yoga Studio,Food Stand
1094,"Wudaokou, Beijing China",Café,Chinese Restaurant,Fast Food Restaurant,Korean Restaurant,Bar,Pizza Place,Coffee Shop,Sandwich Place,Bakery,Japanese Restaurant
1095,"Wynnum West, Brisbane",Supermarket,Fast Food Restaurant,Café,Japanese Restaurant,Sandwich Place,Greek Restaurant,Gym,Mobile Phone Shop,Noodle House,Shopping Mall
1096,"Wynnum, Brisbane",Coffee Shop,Sandwich Place,Grocery Store,Pool,Water Park,Beach,Seafood Restaurant,Filipino Restaurant,Field,Fast Food Restaurant
1097,"Xibianmen, Beijing China",Hotel,Chinese Restaurant,Bakery,Fast Food Restaurant,Hunan Restaurant,Gym Pool,BBQ Joint,Metro Station,Noodle House,Jewelry Store
1098,"Xidan, Beijing China",Fast Food Restaurant,Coffee Shop,Department Store,Chinese Restaurant,Pizza Place,Shopping Mall,Clothing Store,Asian Restaurant,Szechuan Restaurant,Cantonese Restaurant
1099,"Xizhimen, Beijing China",Fast Food Restaurant,Chinese Restaurant,Café,Coffee Shop,Bus Station,Theater,Shopping Mall,Hunan Restaurant,Metro Station,Clothing Store
1100,"Xuanwumen Station, Beijing China",Fast Food Restaurant,Japanese Restaurant,Coffee Shop,Hotel,Metro Station,Chinese Restaurant,Bookstore,Hunan Restaurant,Beijing Restaurant,Sandwich Place
1101,"Xuhui District, Shanghai China",Bakery,Cocktail Bar,Hotel,Bistro,Park,Gym / Fitness Center,Japanese Restaurant,Italian Restaurant,Dumpling Restaurant,Coffee Shop
1102,"Yaldhurst, Christchurch New Zealand",Restaurant,Bar,Park,Breakfast Spot,Flower Shop,Hotel,Café,Zoo Exhibit,Fast Food Restaurant,Film Studio
1103,"Yamuna Vihar, New Delhi India",Bank,Zoo Exhibit,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farm
1104,"Yangpu District, Shanghai China",Hotel,Shopping Mall,Coffee Shop,Dumpling Restaurant,Park,Lounge,French Restaurant,Italian Restaurant,American Restaurant,Waterfront
1105,"Yayuncun, Beijing China",Coffee Shop,Hotel,Chinese Restaurant,Asian Restaurant,Shopping Mall,Fast Food Restaurant,Pool,BBQ Joint,Seafood Restaurant,Theater
1106,"Yeerongpilly, Brisbane",Print Shop,Lawyer,Train Station,Coffee Shop,Gym,Metro Station,Brewery,Forest,Film Studio,Event Space
